Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Two or More Races,M,Construction & Inspections,51,66.617,T,A
Two or More Races,M,Fire Department,46,29.03,R,A
Two or More Races,M,Seattle Public Library,73,28.5,R,A
Two or More Races,F,Police Department,40,31.35,R,A
Two or More Races,M,Police Department,53,33.44,R,A
Two or More Races,F,Education & Early Learning,64,93.34,R,A
Two or More Races,F,Fire Department,46,69.41,R,L
Two or More Races,M,Seattle City Light,41,71.9374,R,A
Two or More Races,M,Parks & Recreation,43,30.09,R,A
Two or More Races,F,Information Technology,53,46.68,R,A
Two or More Races,M,Police Department,53,60.06,R,A
Two or More Races,M,Seattle Public Utilities,34,39.59,R,A
Two or More Races,M,Parks & Recreation,35,38.57,R,A
Two or More Races,F,Human Services Department,38,39.28,R,A
Two or More Races,F,Parks & Recreation,52,33.33,R,A
Two or More Races,M,Seattle Dept of Transportation,30,18.69,R,A
Two or More Races,F,Parks & Recreation,16,21.05,T,A
Two or More Races,M,Police Department,28,47.69,R,A
Two or More Races,M,Seattle City Light,41,59.55,R,A
Two or More Races,M,Seattle Public Utilities,40,54,R,A
Two or More Races,M,Seattle City Light,62,54.6,R,P
Two or More Races,F,Mayor's Office,41,69.445,R,A
Two or More Races,F,Finance & Admin Services,38,78.53,R,A
Two or More Races,F,Police Department,30,43.71,R,A
Two or More Races,M,Finance & Admin Services,57,43.49,R,A
Two or More Races,M,Seattle City Light,52,55.63,R,A
Two or More Races,M,Parks & Recreation,39,55.672,R,A
Two or More Races,M,Seattle Public Utilities,39,33.79,R,A
Two or More Races,M,Police Department,52,95.71,R,A
Two or More Races,F,Law Department,34,29.54,R,A
Two or More Races,F,Information Technology,45,41.66,R,A
Two or More Races,F,Seattle Public Utilities,59,47.66,R,A
Two or More Races,F,Seattle Public Utilities,55,27.19,R,A
Two or More Races,M,Parks & Recreation,38,41.66,T,A
Two or More Races,M,Seattle Public Utilities,53,85.746,R,A
Two or More Races,M,Municipal Court,73,64.499,T,A
Two or More Races,F,Employees' Retirement System,61,74.221,R,A
Two or More Races,F,Office of Housing,43,65.83,R,A
Two or More Races,M,Fire Department,31,46.06,R,A
Two or More Races,M,Parks & Recreation,16,21.05,T,A
Two or More Races,M,Police Department,45,29.03,R,A
Two or More Races,M,Finance & Admin Services,65,43.49,R,A
Two or More Races,M,Seattle Public Library,34,42.21,R,A
Two or More Races,F,Parks & Recreation,33,19.88,R,A
Two or More Races,N,Seattle Dept of Transportation,27,48.42,T,A
Two or More Races,M,Seattle Dept of Transportation,55,57.87,R,A
Two or More Races,M,Police Department,35,47.69,R,A
Two or More Races,F,Information Technology,61,53.634,R,A
Two or More Races,M,Police Department,30,45.96,R,A
Two or More Races,F,Information Technology,57,93.343,R,A
Two or More Races,F,Police Department,35,55.6,R,A
Two or More Races,F,Office for Civil Rights,39,53.04,R,A
Two or More Races,F,Seattle Public Library,17,19.87,R,A
Two or More Races,M,Parks & Recreation,21,19.51,T,A
Two or More Races,F,Fire Department,30,26.99,R,A
Two or More Races,F,Seattle Public Library,29,22.29,R,A
Two or More Races,F,Seattle City Light,47,124.7359,R,A
Two or More Races,M,Seattle Center,32,29.03,R,A
Two or More Races,M,Seattle Center,74,25.58,T,A
Two or More Races,F,Office for Civil Rights,43,55.44,R,A
Two or More Races,F,Seattle Dept of Transportation,59,58.36,R,A
Two or More Races,M,Finance & Admin Services,36,30.5,R,A
Two or More Races,M,Mayor's Office,35,27.46,T,A
Two or More Races,F,Seattle Public Utilities,28,34.94,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,22,31.3,R,A
Two or More Races,F,Office of Labor Standards,39,30.09,R,A
Two or More Races,F,Seattle Public Library,50,44.75,R,A
Two or More Races,F,Seattle Public Utilities,48,57.87,R,A
Two or More Races,F,Seattle City Light,25,28.31,R,A
Two or More Races,F,Arts & Culture,63,70.51,R,A
Two or More Races,F,Parks & Recreation,32,18.69,T,A
Two or More Races,M,Fire Department,43,51.07,R,A
Two or More Races,F,Seattle Public Library,59,28.5,R,A
Two or More Races,N,Seattle Public Library,25,23.46,R,A
Two or More Races,M,Seattle Public Utilities,58,67.098,R,A
Two or More Races,M,Police Department,52,41.48,R,A
Two or More Races,F,Police Department,42,42.96,R,A
Two or More Races,M,Police Department,29,36.47,R,A
Two or More Races,M,Seattle Public Utilities,42,72.75,R,A
Two or More Races,M,Seattle Dept of Transportation,52,53.41,R,A
Two or More Races,F,Seattle Public Utilities,37,43.34,T,A
Two or More Races,M,Fire Department,33,43.98,R,A
Two or More Races,M,Fire Department,39,60.33,R,A
Two or More Races,F,Fire Department,41,31.35,R,A
Two or More Races,F,Parks & Recreation,37,30.09,R,A
Two or More Races,M,Seattle City Light,41,69.6,R,A
Two or More Races,M,Parks & Recreation,34,33.94,R,A
Two or More Races,M,Seattle Public Utilities,45,38.95,T,A
Two or More Races,F,Seattle Dept of Transportation,26,49.24,T,A
Two or More Races,M,Police Department,33,50.03,R,A
Two or More Races,M,Seattle Public Utilities,56,48.37,R,A
Two or More Races,F,Human Services Department,33,78.53,R,A
Two or More Races,F,Seattle Public Library,26,24.67,R,A
Two or More Races,F,Finance & Admin Services,62,59,T,A
Two or More Races,F,Parks & Recreation,41,31.35,R,A
Two or More Races,F,Off of Emergency Mngmnt Dept,51,48.1,R,A
Two or More Races,M,Seattle Public Utilities,26,40.08,T,A
Two or More Races,F,Education & Early Learning,25,39.28,R,A
Two or More Races,M,Fire Department,33,41.07,R,A
Two or More Races,M,Police Department,53,116.93,R,A
Two or More Races,F,Information Technology,42,44.14,R,A
Two or More Races,M,Fire Department,45,51.07,R,A
Two or More Races,F,Seattle Center,46,39.7,T,A
Two or More Races,M,Seattle City Light,26,58.78,R,A
Two or More Races,F,Seattle Public Library,26,23.46,R,A
Two or More Races,M,Seattle Center,76,18.69,T,A
Two or More Races,N,Seattle Public Library,27,24.67,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,35,40.67,R,A
Two or More Races,M,Fire Department,26,43.15,R,A
Two or More Races,M,Seattle City Light,41,51.39,R,A
Two or More Races,M,Mayor's Office,47,101.533,R,A
Two or More Races,M,Fire Department,26,38.98,R,A
Two or More Races,F,Seattle Public Library,31,29.54,R,A
Two or More Races,M,Police Department,34,36.64,R,A
Two or More Races,M,Fire Department,41,48.15,R,A
Two or More Races,M,Information Technology,40,71.168,R,A
Two or More Races,F,Human Services Department,42,37.84,R,A
Two or More Races,M,Police Department,32,32.84,R,A
Two or More Races,F,Office of Housing,54,54.86,R,A
Two or More Races,M,Seattle City Light,24,23.4,T,A
Two or More Races,F,Seattle Dept of Transportation,43,40.08,R,A
Two or More Races,M,Parks & Recreation,18,19.29,T,A
Two or More Races,F,Planning & Comm Development,59,46.68,R,A
Two or More Races,M,Seattle City Light,32,55.44,R,A
Two or More Races,M,Seattle Dept of Transportation,27,61,R,A
Two or More Races,F,Seattle Dept of Transportation,32,57.87,R,A
Two or More Races,M,Finance & Admin Services,47,59.401,R,A
Two or More Races,F,Fire Department,65,31.35,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,40,45.62,R,A
Two or More Races,M,Police Department,38,58.22,R,A
Two or More Races,M,Police Department,35,55.34,R,A
Two or More Races,M,Seattle City Light,43,74.716,R,A
Two or More Races,F,Seattle Center,60,25.58,T,A
Two or More Races,M,Seattle Dept of Transportation,40,49.4,R,A
Two or More Races,F,Seattle Dept of Human Resource,36,45.75,R,A
Two or More Races,M,Seattle City Light,46,71.166,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,52,47.47,R,A
Two or More Races,M,Law Department,39,61.168,R,A
Two or More Races,F,Seattle Public Utilities,41,52,R,A
Two or More Races,M,Human Services Department,51,46.68,R,A
Two or More Races,M,Parks & Recreation,20,21.05,T,A
Two or More Races,F,Police Department,63,39.68,R,A
Two or More Races,M,Seattle Dept of Transportation,63,56.52,R,A
Two or More Races,F,Seattle City Light,41,31.35,R,A
Two or More Races,F,Seattle City Light,25,18.69,R,A
Two or More Races,M,Police Department,39,56.65,R,A
Two or More Races,M,Seattle City Light,54,82.37,R,A
Two or More Races,M,Seattle Public Utilities,58,53,R,A
Two or More Races,M,Seattle Dept of Transportation,46,57.87,R,A
Two or More Races,M,Seattle Public Utilities,30,34.08,R,A
Two or More Races,M,Seattle Center,28,25.58,T,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,33,31.3,R,A
Two or More Races,M,Police Department,27,50.03,R,A
Two or More Races,F,Seattle Public Utilities,40,37.84,R,A
Two or More Races,F,Police Department,32,47.69,R,A
Two or More Races,M,Seattle City Light,41,50.41,R,A
Two or More Races,F,Parks & Recreation,73,31.35,R,A
Two or More Races,M,Finance & Admin Services,61,34.08,R,A
Two or More Races,M,Arts & Culture,51,52.41,R,A
Two or More Races,M,Seattle Dept of Human Resource,56,73.289,R,A
Two or More Races,F,Seattle Public Utilities,34,50.38,R,A
Two or More Races,M,Seattle Dept of Transportation,25,40.08,T,A
Two or More Races,M,Human Services Department,47,44.72,R,A
Two or More Races,F,Seattle City Light,43,61.86,R,A
Two or More Races,F,Police Department,23,42.96,R,A
Two or More Races,F,Seattle Public Library,35,27.14,R,A
Two or More Races,F,Human Services Department,29,58.32,R,A
Two or More Races,M,Police Department,33,42.96,R,A
Two or More Races,F,Seattle City Light,32,42.42,R,A
Two or More Races,M,Seattle City Light,27,39.36,T,A
Two or More Races,F,Police Department,30,54.29,R,A
Two or More Races,F,Education & Early Learning,37,49.49,T,A
Two or More Races,M,Parks & Recreation,38,39.28,R,A
Two or More Races,M,Seattle Dept of Transportation,25,47.51,R,A
Two or More Races,F,Municipal Court,34,29.39,R,A
Two or More Races,F,Information Technology,56,110.22,R,A
Two or More Races,F,Construction & Inspections,33,43.34,R,A
Two or More Races,M,Seattle Center,38,36.05,T,A
Two or More Races,M,Police Department,32,55.34,R,A
Two or More Races,M,Police Department,42,54.29,R,A
Two or More Races,M,Seattle Public Utilities,48,35.13,R,A
Two or More Races,F,Seattle City Light,51,56.31,R,A
Two or More Races,F,Parks & Recreation,17,21.05,T,A
Two or More Races,F,Immigrant & Refugee Affairs,45,63.508,R,A
Two or More Races,M,Police Department,33,50.03,R,A
Two or More Races,M,Seattle City Light,45,61.86,R,A
Two or More Races,M,Fire Department,40,43.15,R,A
Two or More Races,F,Employees' Retirement System,55,33.06,R,A
Two or More Races,F,Municipal Court,51,29.03,R,A
Two or More Races,M,Neighborhoods,34,45,T,A
Two or More Races,M,Seattle Public Utilities,55,29.29,R,A
Two or More Races,F,Police Department,41,26.99,R,A
Two or More Races,M,Police Department,30,42.96,R,A
Two or More Races,M,Fire Department,35,38.98,R,A
Two or More Races,F,Human Services Department,63,50.43,R,A
Two or More Races,M,Parks & Recreation,35,23.65,R,A
Two or More Races,F,Office for Civil Rights,34,63,R,A
Two or More Races,M,Police Department,35,53.5,R,A
Two or More Races,M,Human Services Department,55,44.72,R,A
Two or More Races,F,Human Services Department,43,39.28,R,A
Two or More Races,F,Finance & Admin Services,36,30.18,R,A
Two or More Races,M,Fire Department,38,36.9,R,A
Two or More Races,F,Seattle City Light,43,41.66,R,A
Two or More Races,M,Seattle Public Library,27,24.67,R,A
Two or More Races,M,Construction & Inspections,52,48.48,R,A
Two or More Races,M,Seattle Public Utilities,26,36.74,R,A
Two or More Races,M,Fire Department,61,54.19,R,A
Two or More Races,F,Seattle Public Library,49,28.46,R,A
Two or More Races,F,Parks & Recreation,35,29.03,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,35,49.04,R,A
Two or More Races,F,Fire Department,40,33.78,R,A
Two or More Races,M,Parks & Recreation,17,21.05,T,A
Two or More Races,M,Fire Department,58,51.7,R,A
Two or More Races,F,Seattle Public Library,59,56.87,R,A
Two or More Races,M,Sustainability & Environment,32,43.34,R,A
Two or More Races,F,Seattle City Light,23,24.92,T,A
Two or More Races,F,Seattle City Light,60,65.7344,R,A
Two or More Races,M,Seattle City Light,34,33.36,R,A
Two or More Races,F,Office of Labor Standards,40,73.226,R,A
Two or More Races,M,Parks & Recreation,32,39.59,R,A
Two or More Races,F,Parks & Recreation,17,19.51,T,A
Two or More Races,M,Seattle Dept of Transportation,50,34.94,T,A
Two or More Races,M,Parks & Recreation,31,31.35,R,A
Two or More Races,M,Fire Department,33,43.15,R,A
Two or More Races,F,Seattle Dept of Human Resource,38,55.65,R,A
Two or More Races,M,Human Services Department,37,39.28,R,A
Two or More Races,M,Police Department,33,40.06,R,A
Two or More Races,M,Seattle City Light,35,58.78,R,A
Two or More Races,M,Mayor's Office,64,110.75,R,A
Two or More Races,M,Finance & Admin Services,29,50.06,R,A
Two or More Races,F,Seattle City Light,27,53.3081,R,A
Two or More Races,F,Employees' Retirement System,42,90.789,R,A
Two or More Races,F,Information Technology,55,74.379,R,A
Two or More Races,F,Office for Civil Rights,46,73.14,R,A
Two or More Races,M,Police Department,25,47.69,R,A
Two or More Races,F,Parks & Recreation,30,18.69,T,A
Two or More Races,F,City Budget Office,38,57.46,R,A
Two or More Races,F,Police Department,32,55.6,R,A
Two or More Races,F,Education & Early Learning,34,54.64,R,A
Two or More Races,M,Police Department,35,55.34,R,A
Two or More Races,F,Information Technology,42,62.8897,R,A
Two or More Races,M,Seattle Public Library,18,19.87,R,A
Two or More Races,F,Seattle Dept of Human Resource,43,46.68,R,A
Two or More Races,M,Finance & Admin Services,42,55.587,R,A
Two or More Races,M,Fire Department,44,43.98,R,A
Two or More Races,F,Education & Early Learning,34,64,R,A
Two or More Races,F,Police Department,54,57.4713,R,A
Two or More Races,M,Fire Department,57,55,R,A
Two or More Races,F,Law Department,42,55.44,R,A
Two or More Races,M,Seattle City Light,54,64,R,A
Two or More Races,F,Seattle Public Utilities,44,55.33,R,A
Two or More Races,M,Seattle City Light,58,30.97,R,A
Two or More Races,M,Finance & Admin Services,39,41.38,R,A
Two or More Races,M,Construction & Inspections,44,51.39,R,A
Two or More Races,F,Seattle Public Library,42,27.05,R,A
Two or More Races,F,Office of Economic Development,24,35.74,T,A
Two or More Races,M,Finance & Admin Services,34,29.03,R,A
Two or More Races,M,Seattle City Light,42,40.31,R,A
Two or More Races,F,Human Services Department,37,39.28,R,A
Two or More Races,M,Police Department,34,54.29,R,A
Two or More Races,M,Fire Department,35,36.9,R,A
Two or More Races,M,Finance & Admin Services,33,28.31,T,A
Two or More Races,M,Parks & Recreation,23,19.09,T,A
Two or More Races,F,Parks & Recreation,44,19.64,T,A
Two or More Races,M,Seattle Public Utilities,57,43.27,R,A
Two or More Races,F,Parks & Recreation,43,59,R,A
Two or More Races,M,Police Department,39,54.29,R,A
Two or More Races,F,Human Services Department,42,35.05,R,A
Two or More Races,F,Arts & Culture,46,59.931,R,A
Two or More Races,M,Construction & Inspections,64,45.68,R,A
Two or More Races,M,Police Department,29,54.29,R,A
Two or More Races,M,Legislative Department,49,19.09,T,A
Two or More Races,M,Police Department,27,47.69,R,A
Two or More Races,F,Seattle Public Utilities,48,34.47,R,A
Two or More Races,M,Parks & Recreation,36,53.23,R,A
Two or More Races,F,Parks & Recreation,37,70.267,R,A
Two or More Races,M,Police Department,34,52.682,R,A
Two or More Races,F,Seattle Center,47,44.95,R,A
Two or More Races,M,Seattle Center,68,53.13,R,A
Two or More Races,F,Seattle Public Utilities,42,40.06,R,A
Two or More Races,M,Seattle Public Utilities,43,25.58,R,A
Two or More Races,F,Seattle City Light,54,62.4,T,A
Two or More Races,M,Seattle Public Utilities,35,49.75,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,28,40.67,R,A
Two or More Races,F,Law Department,52,26.05,T,A
Two or More Races,M,Police Department,29,48.98,R,A
Two or More Races,M,Police Department,25,42.96,R,A
Two or More Races,M,Fire Department,31,43.15,R,A
Two or More Races,M,Fire Department,55,51.64,R,A
Two or More Races,F,Law Department,54,78.436,R,A
Two or More Races,F,Municipal Court,62,26.05,R,A
Two or More Races,M,Seattle Dept of Transportation,22,24.92,T,A
Two or More Races,M,Seattle City Light,74,54.6,R,A
Two or More Races,M,Seattle Public Utilities,40,41.61,R,A
Two or More Races,F,Parks & Recreation,47,20.75,T,A
Two or More Races,F,City Budget Office,30,58.03,R,A
Two or More Races,F,Seattle City Light,22,24.92,T,A
Two or More Races,M,Human Services Department,30,35.35,R,A
Two or More Races,M,Information Technology,45,64.89,R,A
Two or More Races,M,Police Department,43,43.34,R,A
Two or More Races,M,Seattle City Light,32,50.38,R,A
Two or More Races,F,Seattle Public Utilities,26,18.69,R,A
Two or More Races,F,Seattle Dept of Human Resource,47,54.34,R,A
Two or More Races,F,Seattle Dept of Transportation,60,51.32,R,A
Two or More Races,M,Seattle Dept of Transportation,24,37.29,R,A
Two or More Races,F,Seattle Dept of Transportation,26,30.09,T,A
Two or More Races,M,Construction & Inspections,41,55.44,R,A
Two or More Races,F,Parks & Recreation,48,44.95,R,A
Two or More Races,F,Parks & Recreation,43,40.86,R,A
Two or More Races,M,Police Department,33,34.05,R,A
Two or More Races,M,Law Department,36,41.66,R,A
Two or More Races,F,Seattle Public Utilities,61,46.68,R,A
Two or More Races,F,Planning & Comm Development,28,23.4,T,A
Two or More Races,M,Human Services Department,34,35.05,R,A
Two or More Races,F,Seattle Public Library,38,33.25,R,A
Two or More Races,F,Seattle City Light,30,60.632,R,A
Two or More Races,F,Parks & Recreation,39,18.69,T,A
Two or More Races,F,Seattle City Light,42,61.86,R,A
Two or More Races,F,Seattle Public Utilities,24,30.52,R,A
Two or More Races,M,Seattle Center,54,39.7,T,A
Two or More Races,F,Seattle City Light,51,66.872,R,A
Two or More Races,M,Police Department,30,45.96,R,A
Two or More Races,F,Arts & Culture,58,41.17,R,A
Two or More Races,M,Police Department,37,55.34,R,A
Two or More Races,F,Municipal Court,49,33.78,R,A
Two or More Races,M,Seattle Dept of Transportation,39,73.844,R,A
Two or More Races,F,Neighborhoods,27,37.84,R,A
Two or More Races,M,Police Department,36,55.07,R,A
Two or More Races,M,Seattle Dept of Human Resource,33,65.8,R,A
Two or More Races,F,Municipal Court,41,39.16,R,A
Two or More Races,N,Seattle Public Library,30,23.46,R,A
Two or More Races,F,Parks & Recreation,41,22.26,R,A
Two or More Races,M,Information Technology,60,61.5,R,A
Two or More Races,F,Seattle Dept of Transportation,53,65.01,R,A
Two or More Races,F,Police Department,34,54.29,R,A
Two or More Races,F,Information Technology,30,51.39,R,A
Two or More Races,M,Finance & Admin Services,40,37.84,R,A
Two or More Races,F,Municipal Court,39,33.65,R,A
Two or More Races,F,Seattle Center,61,36.05,T,A
Two or More Races,F,Information Technology,55,63.95,R,A
Two or More Races,M,Parks & Recreation,18,21.05,R,A
Two or More Races,M,Parks & Recreation,65,23.65,R,A
Two or More Races,M,Police Department,25,50.03,R,A
Two or More Races,M,Police Department,57,74.24,R,A
Two or More Races,M,Information Technology,48,64.573,R,A
Two or More Races,F,Information Technology,63,38.57,T,A
Two or More Races,M,City Budget Office,62,75.38,R,A
Two or More Races,F,Seattle Public Library,33,23.46,R,A
Two or More Races,F,Seattle Dept of Human Resource,45,79.023,R,A
Two or More Races,M,Seattle Center,31,21.96,T,A
Two or More Races,F,Police Department,51,60.58,R,A
Two or More Races,M,Police Department,28,45.96,R,A
Two or More Races,F,Legislative Department,63,65.82,R,A
Two or More Races,F,Human Services Department,64,61.8,R,A
Two or More Races,F,Seattle Public Library,19,22.29,R,A
Two or More Races,M,Police Department,38,46.68,R,A
Two or More Races,F,Seattle Dept of Transportation,27,52.41,R,A
Two or More Races,M,Fire Department,44,43.98,R,A
Two or More Races,F,City Budget Office,37,58.03,R,A
Two or More Races,F,Seattle Public Library,41,35.26,R,L
Two or More Races,M,Police Department,40,45.96,R,A
Two or More Races,F,Fire Department,48,57.74,R,A
Two or More Races,M,Finance & Admin Services,56,62.82,R,A
Two or More Races,F,Law Department,29,27.46,T,A
Two or More Races,F,Seattle Dept of Transportation,31,35.05,R,A
Two or More Races,M,Seattle Center,59,36.05,T,A
Two or More Races,F,Seattle Public Utilities,33,51.32,R,A
Two or More Races,M,Seattle Dept of Transportation,54,57.87,R,A
Two or More Races,M,Seattle Dept of Transportation,23,30.09,T,A
Two or More Races,M,Finance & Admin Services,48,35.52,R,A
Two or More Races,M,Seattle Dept of Transportation,61,39.27,R,A
Two or More Races,M,Finance & Admin Services,52,61.162,R,A
Two or More Races,F,Seattle Dept of Transportation,55,46.68,R,A
Two or More Races,F,Seattle Dept of Transportation,42,36.47,R,A
Two or More Races,M,Police Department,35,55.34,R,A
Two or More Races,M,Finance & Admin Services,43,65.565,R,A
Two or More Races,M,Police Department,35,55.6,R,A
Two or More Races,M,Seattle Dept of Transportation,28,51.32,R,A
Two or More Races,M,Seattle Public Library,47,46.07,R,A
Two or More Races,F,Parks & Recreation,23,18.69,T,A
Two or More Races,F,Information Technology,54,60.888,R,A
Two or More Races,M,Seattle Public Utilities,40,54.12,R,A
Two or More Races,M,Fire Department,45,48.16,R,A
Two or More Races,M,Police Department,29,55.34,R,A
Two or More Races,M,Police Department,23,33.44,R,A
Two or More Races,F,Seattle Public Library,20,19.87,R,A
Two or More Races,M,Seattle City Light,45,54.6,R,A
Two or More Races,M,Fire Department,39,45.65,R,A
Two or More Races,F,Information Technology,63,62.25,R,A
Two or More Races,F,Seattle City Light,63,31.35,R,A
Two or More Races,F,Office of Labor Standards,33,51.34,R,A
Two or More Races,F,Police Department,30,55.6,R,A
Two or More Races,M,Seattle Public Utilities,30,32.49,R,A
Two or More Races,F,Parks & Recreation,58,33.78,R,A
Two or More Races,M,Seattle City Light,75,71.6495,R,A
Two or More Races,M,Police Department,49,69.71,R,A
Two or More Races,M,Finance & Admin Services,45,30.36,R,A
Two or More Races,F,Mayor's Office,47,101.533,R,A
Two or More Races,F,Seattle Public Library,17,18.69,R,A
Two or More Races,F,Police Department,33,55.34,R,A
Two or More Races,M,Seattle City Light,44,61.86,R,A
Two or More Races,M,Seattle City Light,28,58.78,R,A
Two or More Races,M,Seattle City Light,45,61.86,R,A
Two or More Races,F,Seattle Public Utilities,57,59.9,R,A
Two or More Races,M,Seattle City Light,46,51.88,R,A
Two or More Races,F,Seattle Dept of Transportation,56,61.001,R,A
Two or More Races,F,Human Services Department,50,29.03,R,A
Two or More Races,M,Law Department,26,27.46,T,A
Two or More Races,F,Seattle Public Utilities,34,60,R,A
Two or More Races,F,Human Services Department,21,19.09,T,A
Two or More Races,M,Seattle Public Utilities,60,51.32,R,A
Two or More Races,F,Police Department,30,31.35,R,A
Two or More Races,F,Seattle City Light,66,36.36,R,A
Two or More Races,F,Parks & Recreation,19,19.51,T,A
Two or More Races,M,Seattle Public Library,20,19.87,R,A
Two or More Races,M,Police Department,30,45.96,R,A
Two or More Races,M,Seattle City Light,25,30.87,R,A
Two or More Races,M,Seattle City Light,49,58.36,R,A
Two or More Races,M,Seattle Public Utilities,45,40.79,R,A
Two or More Races,M,Seattle City Light,29,30.97,R,A
Two or More Races,M,Law Department,46,70.053,R,A
Two or More Races,F,Seattle City Light,45,29.45,R,A
Two or More Races,M,Fire Department,42,46.48,R,A
Two or More Races,M,Parks & Recreation,16,21.05,T,A
Two or More Races,F,Seattle Public Utilities,52,58.268,R,A
Two or More Races,F,Finance & Admin Services,39,30.5,R,A
Two or More Races,M,Police Department,28,40.06,R,A
Two or More Races,F,Human Services Department,58,28,T,A
Two or More Races,F,Seattle Dept of Human Resource,34,46.68,R,A
Two or More Races,F,Parks & Recreation,33,25.58,R,A
Two or More Races,F,Human Services Department,33,38.57,R,A
Two or More Races,N,Seattle Public Library,26,24.67,R,A
Two or More Races,F,Seattle Public Library,39,61.85,R,A
Two or More Races,M,Seattle Public Utilities,31,28.7,R,A
Two or More Races,M,Fire Department,31,38.98,R,A
Two or More Races,M,Seattle City Light,47,34.47,R,A
Two or More Races,M,Finance & Admin Services,58,56.051,R,A
Two or More Races,F,Finance & Admin Services,54,29.45,R,A
Two or More Races,M,Seattle Public Utilities,44,55.44,R,A
Two or More Races,F,Seattle City Light,48,72.58,R,A
Two or More Races,F,Construction & Inspections,44,56.25,R,A
Two or More Races,M,Seattle City Light,39,33.14,R,A
Two or More Races,F,Police Department,44,55.34,R,A
Two or More Races,M,Police Department,34,46.68,R,A
Two or More Races,M,Information Technology,41,64.654,R,A
Two or More Races,F,Seattle Dept of Human Resource,34,55.65,R,A
Two or More Races,M,Law Department,34,55.346,R,A
Two or More Races,M,Seattle Public Utilities,25,34.08,T,A
Two or More Races,M,Fire Department,43,33.78,R,A
Two or More Races,F,Information Technology,53,61.097,R,A
Two or More Races,F,Office of Housing,55,86.207,R,A
Two or More Races,F,Seattle Public Library,30,28.5,R,A
Two or More Races,M,Seattle City Light,53,61.86,R,A
Two or More Races,M,Seattle Public Utilities,36,38.12,T,A
Two or More Races,M,Seattle Public Utilities,56,68.54,R,A
Two or More Races,F,Construction & Inspections,63,55.44,R,A
Two or More Races,F,Police Department,39,55.34,R,A
Two or More Races,M,Parks & Recreation,33,40.86,R,A
Two or More Races,F,Parks & Recreation,53,33.33,R,A
Two or More Races,F,Human Services Department,32,35.35,R,A
Two or More Races,M,Parks & Recreation,20,19.64,T,A
Two or More Races,M,Seattle Public Utilities,23,27.19,R,A
Two or More Races,F,Fire Department,51,48.48,R,A
Two or More Races,F,Seattle Public Utilities,61,49.41,R,A
Two or More Races,F,Police Department,37,46.68,R,A
Two or More Races,M,Seattle City Light,41,61.86,R,A
Two or More Races,M,Seattle Dept of Transportation,31,37.29,R,A
Two or More Races,M,Fire Department,34,43.98,R,A
Two or More Races,M,Seattle Center,47,46.4,R,A
Two or More Races,F,Office of Labor Standards,33,40.86,R,A
Two or More Races,M,Seattle Dept of Transportation,26,45.81,R,A
Two or More Races,M,Seattle Public Utilities,34,48.48,T,A
Two or More Races,F,Police Department,38,46.68,R,A
Two or More Races,F,Seattle Dept of Human Resource,52,40.08,R,A
Two or More Races,M,Police Department,27,33.44,R,A
Two or More Races,M,Fire Department,35,43.98,R,A
Two or More Races,F,Seattle Public Utilities,57,41.61,R,A
Two or More Races,F,Seattle Center,56,29.03,R,A
Two or More Races,F,Parks & Recreation,21,19.64,T,A
Two or More Races,F,Finance & Admin Services,37,44.95,R,A
Two or More Races,M,Police Department,38,55.34,R,A
Two or More Races,M,Human Services Department,36,35.05,R,A
Two or More Races,F,Police Department,57,34.05,R,A
Two or More Races,F,Seattle Public Library,61,28.5,R,A
Two or More Races,F,Seattle City Light,31,54.4,R,A
Two or More Races,M,Parks & Recreation,23,18.69,T,A
Two or More Races,M,Seattle Center,41,36.05,T,A
Two or More Races,M,Finance & Admin Services,44,82.007,R,A
Two or More Races,F,Seattle Center,42,36.05,T,A
Two or More Races,F,Seattle City Light,40,33.14,R,A
Two or More Races,M,Parks & Recreation,17,21.05,T,A
Two or More Races,M,Seattle City Light,40,47.64,R,A
Two or More Races,M,Seattle City Light,36,61.86,R,A
Two or More Races,F,Finance & Admin Services,49,67.898,R,A
Two or More Races,F,Seattle Dept of Transportation,32,46.68,R,A
Two or More Races,F,Seattle Dept of Transportation,44,46.68,R,A
Two or More Races,M,Police Department,25,44.01,R,A
Two or More Races,M,Seattle City Light,37,47.62,R,A
Two or More Races,F,Seattle City Light,57,77.25,R,A
Two or More Races,F,Parks & Recreation,22,20.75,T,A
Two or More Races,M,Parks & Recreation,20,19.51,T,A
Two or More Races,F,Office for Civil Rights,28,47.67,R,A
Two or More Races,M,Police Department,55,62.94,R,A
Two or More Races,F,Parks & Recreation,28,35.28,R,A
Two or More Races,M,Parks & Recreation,43,30.09,R,A
Two or More Races,M,Fire Department,48,46.48,R,A
Two or More Races,M,Parks & Recreation,34,19.85,T,A
Two or More Races,F,Seattle Public Library,38,22.29,R,A
